Term	Notes	English	Dutch	French	Italian	German	Spanish	Brazilian Portuguese	Polish	Chinese (Simplified)	Chinese (Traditional)	Japanese	Korean
card_animal_pen_description		Can hold 5 Animals	Hier kunnen 5 Dieren in	Peut accueillir 5 Animaux	Può contenere 5 animali.	Kann 5 Tiere aufnehmen	Alberga 5 animales.	Pode acomodar 5 animais.	Mieści do 5 zwierząt	可容纳5只动物	可以關住5隻動物	動物を５匹飼育できるぞ	5마리의 동물 보유 가능
card_animal_pen_name		Animal Pen	Dierenverblijf	Enclos	Recinto per animali	Tiergehege	Corral	Curral	Zagroda	动物围栏	畜欄	家畜の柵	가축 우리
card_apple_description		Keeps doctors away	Valt niet ver van de boom	Éloigne le médecin	Leva il medico di torno.	Erspart den Doktor	No hay cosa más sana.	Cuidado com a cabeça.	Dodaje zdrowia	医生不找你	讓醫生遠離我	医者いらず	건강하게 만들어줌
card_apple_name		Apple	Appel	Pomme	Mela	Apfel	Manzana	Maçã	Jabłko	苹果	蘋果	リンゴ	,사과
card_apple_tree_description		A tree.. with apples in it	Een boom... met Appels erin	Un arbre… avec des pommes dessus	Un albero... con delle mele.	Ein Baum … mit Äpfeln daran	Un árbol que da manzanas.	Uma árvore... repleta de maçãs.	Drzewo... z jabłkami	一棵……长着苹果的树	一顆......長著蘋果的樹	リンゴが生っている木だ...	사과가 달린 나무
card_apple_tree_name		Apple Tree	Appelboom	Pommier	Melo	Apfelbaum	Manzano	Macieira	Jabłoń	苹果树	蘋果樹	リンゴの樹	사과나무
card_apple_tree_status		Punching Apple Tree	Appelboom aan 't slaan	Cueillette en cours	Sto colpendo il Melo	Apfelbaum schütteln	Golpeando manzano	Esmurrando a Macieira	Wali w Jabłoń	击打苹果树	正在用力敲打蘋果樹	リンゴの樹を揺さぶる	사과나무 채취 중
card_bear_description		Soft yet dangerous	Zacht, maar gevaarlijk	Doux mais dangereux	Morbido ma pericoloso.	Kuschelig, aber gefährlich	Suave pero peligroso.	Fofo, mas perigoso.	Mięciutki, ale groźny	笨拙却危险	軟軟的但很危險	モフモフと可愛らしいがとても危険	부드럽지만 위험함
card_bear_name		Bear	Beer	Ours	Orso	Bär	Oso	Urso	Niedźwiedź	熊	熊	クマ	곰
card_berry_description		A simple food found in Berry Bushes	Simpel voedsel uit een Bessenstruik	Nourriture récoltée dans les Buissons	Un alimento semplice che si trova nei cespugli di bacche.	Einfache Nahrung an Beerensträuchern	Alimento sencillo recogido de arbustos de bayas.	Comida simples, colhida de arbustos.	Proste jedzenie z Krzaka	一种在浆果灌木中发现的简单食物	在莓果灌木叢裡找到的簡單食物	ベリーの木から採れる簡単な食べ物	딸기나무에서 열매 발견
