"Term"	"Notes"	"English"	"Ukrainian"
"card_animal_pen_description"	""	"Can hold 5 Animals"	"Може містити 5 тварин"
"card_animal_pen_name"	""	"Animal Pen"	"Загін для тварин"
"card_apple_description"	""	"Keeps doctors away"	"Тримає лікарів подалі"
"card_apple_name"	""	"Apple"	"Яблуко"
"card_apple_tree_description"	""	"A tree.. with apples in it"	"Дерево... з яблуками на ньому"
"card_apple_tree_name"	""	"Apple Tree"	"Яблуня"
"card_apple_tree_status"	""	"Punching Apple Tree"	"Б'є яблуню"
"card_bear_description"	""	"Soft yet dangerous"	"М'який, але небезпечний"
"card_bear_name"	""	"Bear"	"Ведмідь"
"card_berry_description"	""	"A simple food found in Berry Bushes"	"Проста їжа, яку можна знайти в ягідних кущах"
"card_berry_name"	""	"Berry"	"Ягода"
"card_berrybush_description"	""	"A bush with delicious berries in it"	"Кущ зі смачними ягодами"
"card_berrybush_name"	""	"Berry Bush"	"Ягідний кущ"
"card_berrybush_status"	""	"Picking Berry Bush"	"Picking Berry Bush"
"card_bone_description"	""	"Fact: a skeleton consists of many of these"	"Факт: Скелети містять в собі багато такого"
"card_bone_name"	""	"Bone"	"Кістка"
"card_brick_description"	""	"A strong building material"	"Міцний будівельний матеріал"
"card_brick_name"	""	"Brick"	"Цеглина"
"card_brickyard_description"	""	"Quickly turns Stone into Bricks"	"Швидко перетворює камінь на цеглу"
"card_brickyard_name"	""	"Brickyard"	"Цегляний цех"
"card_campfire_description"	""	"Can be used to cook foods - it looks warm & cozy"	"Може бути використаний, щоб приготувати їжу, виглядає тепло і затишно"
"card_campfire_name"	""	"Campfire"	"Багаття"
"card_carrot_description"	""	"The crunchiest vegetable"	"Найхрусткіший овоч"
"card_carrot_name"	""	"Carrot"	"Морква"
"card_catacombs_description"	""	"Rumored to contain a mysterious object"	"Rumored to contain a mysterious object"
"card_catacombs_name"	""	"Catacombs"	"Катакомби"
"card_catacombs_status"	""	"Exploring Catacombs"	"Дослідження катакомб"
"card_chicken_description"	""	"Alleged descendent of dinosaurs. I don't see it"	"Так званий нащадок динозаврів. Не дуже схоже"
"card_chicken_name"	""	"Chicken"	"Курка"
"card_cooked_meat_description"	""	"It's cooked medium rare"	"Готується до середнього ступеня прожарювання"
"card_cooked_meat_name"	""	"Cooked Meat"	"Приготоване м'ясо"
"card_corpse_description"	""	"A dead human"	"Мертва людина"
"card_corpse_name"	""	"Corpse"	"Труп"
"card_cow_description"	""	"MOOOOOO!"	"МУУУУУУУУ!"
"card_cow_name"	""	"Cow"	"Корова"
"card_demon_description"	""	"The Final Boss"	"Фінальний бос"
"card_demon_name"	""	"Demon"	"Демон"
"card_dog_description"	""	"Humanity's true best friend. Can do anything a Human can, just slower!"	"Справжній найкращий друг людства. "
"card_dog_name"	""	"Dog"	"Собака"
"card_egg_description"	""	"Can't be eaten raw: thanks salmonella"	"Не можна їсти сирим, спасибі сальмонелі"
"card_egg_name"	""	"Egg"	"Яйце"
"card_explorer_description"	""	"Very fast at exploring Locations, but slightly slower at other tasks"	"Дуже швидкий у дослідженні локацій, але трохи повільніший в інших завданнях"
"card_explorer_name"	""	"Explorer"	"Дослідник"
"card_farm_description"	""	"An advanced building for growing Food"	"Сучасна будівля для вирощування продуктів харчування"
"card_farm_name"	""	"Farm"	"Ферма"
"card_flint_description"	""	"Used to start fires"	"Використовується для розпалення вогню"
"card_flint_name"	""	"Flint"	"Кремінь"
"card_forest_description"	""	"A quaint place that also contains monsters"	"Химерне місце, яке також містить монстрів"
"card_forest_name"	""	"Forest"	"Ліс"
"card_forest_status"	""	"Exploring Forest"	"Дослідження лісу"
"card_frittata_description"	""	"Delicious! Eat it with a fork"	"Смакота! Їжте виделкою"
"card_frittata_name"	""	"Frittata"	"Фритата"
"card_fruit_salad_description"	""	"A classic ancient food"	"Класична стародавня їжа"
"card_fruit_salad_name"	""	"Fruit Salad"	"Фруктовий салат"
