"Term"	"Notes"	"Ukrainian"
"card_animal_pen_description"	""	"Може містити 5 тварин"
"card_animal_pen_name"	""	"Загін для тварин"
"card_apple_description"	""	"Тримає лікарів подалі"
"card_apple_name"	""	"Яблуко"
"card_apple_tree_description"	""	"Дерево... з яблуками на ньому"
"card_apple_tree_name"	""	"Яблуня"
"card_apple_tree_status"	""	"Б'є яблуню"
"card_bear_description"	""	"М'який, але небезпечний"
"card_bear_name"	""	"Ведмідь"
"card_berry_description"	""	"Проста їжа, яку можна знайти в ягідних кущах"
"card_berry_name"	""	"Ягода"
"card_berrybush_description"	""	"Кущ зі смачними ягодами"
"card_berrybush_name"	""	"Ягідний кущ"
"card_berrybush_status"	""	"Збирає ягоди"
"card_bone_description"	""	"Факт: Скелети містять в собі багато такого"
"card_bone_name"	""	"Кістка"
"card_brick_description"	""	"Міцний будівельний матеріал"
"card_brick_name"	""	"Цеглина"
"card_brickyard_description"	""	"Швидко перетворює камінь на цеглу"
"card_brickyard_name"	""	"Цегляний цех"
"card_campfire_description"	""	"Може бути використаний, щоб приготувати їжу, виглядає тепло і затишно"
"card_campfire_name"	""	"Багаття"
"card_carrot_description"	""	"Найхрусткіший овоч"
"card_carrot_name"	""	"Морква"
"card_catacombs_description"	""	"Rumored to contain a mysterious object"
"card_catacombs_name"	""	"Катакомби"
"card_catacombs_status"	""	"Дослідження катакомб"
"card_chicken_description"	""	"Так званий нащадок динозаврів. Не дуже схоже"
"card_chicken_name"	""	"Курка"
"card_cooked_meat_description"	""	"Готується до середнього ступеня прожарювання"
"card_cooked_meat_name"	""	"Приготоване м'ясо"
"card_corpse_description"	""	"Мертва людина"
"card_corpse_name"	""	"Труп"
"card_cow_description"	""	"МУУУУУУУУ!"
"card_cow_name"	""	"Корова"
"card_demon_description"	""	"Фінальний бос"
"card_demon_name"	""	"Демон"
"card_dog_description"	""	"Справжній найкращий друг людства. "
"card_dog_name"	""	"Собака"
"card_egg_description"	""	"Не можна їсти сирим, спасибі сальмонелі"
"card_egg_name"	""	"Яйце"
"card_explorer_description"	""	"Дуже швидкий у дослідженні локацій, але трохи повільніший в інших завданнях"
"card_explorer_name"	""	"Дослідник"
"card_farm_description"	""	"Сучасна будівля для вирощування продуктів харчування"
"card_farm_name"	""	"Ферма"
"card_flint_description"	""	"Використовується для розпалення вогню"
"card_flint_name"	""	"Кремінь"
"card_forest_description"	""	"Химерне місце, яке також містить монстрів"
"card_forest_name"	""	"Ліс"
"card_forest_status"	""	"Дослідження лісу"
"card_frittata_description"	""	"Смакота! Їжте виделкою"
"card_frittata_name"	""	"Фритата"
"card_fruit_salad_description"	""	"Класична стародавня їжа"
"card_fruit_salad_name"	""	"Фруктовий салат"
"card_garden_description"	""	"Проста будівля для вирощування їжі"
"card_garden_name"	""	"Сад"
"card_giant_rat_description"	""	"Велика версія маленького щура"
"card_giant_rat_name"	""	"Гігантський щур"
"card_goblet_description"	""	"Містичний об'єкт"
"card_goblet_name"	""	"Золотий кубок"
"card_goblin_description"	""	"Монстр з поганою поставою"
"card_goblin_name"	""	"Ґоблін"
"card_gold_description"	""	"Найкращий друг людства"
"card_gold_name"	""	"Монетка"
"card_graveyard_description"	""	"Дуже відрізняється від звичайного кладу"
"card_graveyard_name"	""	"Кладовище"
"card_graveyard_status"	""	"Дослідження кладовища"
"card_house_description"	""	"Приємне місце для життя"
"card_house_name"	""	"Дім"
"card_iron_bar_description"	""	"Блискучий, цінний матеріал"
"card_iron_bar_name"	""	"Залізний злиток"
"card_iron_deposit_description"	""	"Містить залізну руду"
"card_iron_deposit_name"	""	"Родовище заліза"
"card_iron_deposit_status"	""	"Видобуває родовище"
"card_iron_ore_description"	""	"Може бути перетворена в залізні злитки"
"card_iron_ore_name"	""	"Залізна руда"
"card_key_description"	""	"Цікаво для чого це..."
"card_key_name"	""	"Ключ"
"card_kid_description"	""	"Дитинча. Потрібен дім, щоб вирости."
"card_kid_name"	""	"Дитинча"
"card_lumbercamp_description"	""	"Нескінченне родовище дерева"
"card_lumbercamp_name"	""	"Лісозаготівельний табір"
"card_lumbercamp_status"	""	"Logging in Camp"
"card_map_description"	""	"Використайте мапу, щоб перетворити селянина в дослідника"
"card_map_name"	""	"Мапа"
"card_market_name"	""	"Ринок"
"card_militia_name"	""	"Воїн"
"card_milk_description"	""	"Щойно від корови"
"card_milk_name"	""	"Молоко"
"card_milkshake_description"	""	"Зі смаком ягід"
"card_milkshake_name"	""	"Молочний коктель"
"card_mountain_description"	""	"Пагорб із загостреним краєм"
"card_mountain_name"	""	"Гора"
"card_mountain_status"	""	"Дослідження гори"
"card_mushroom_description"	""	"Їстівний гриб"
"card_mushroom_name"	""	"Гриб"
